dsc_tbl_cd,apply_ymd,min_qty,max_qty,dsc_typ_cd,dsc_rate,dsc_amt,note
DSC_ACR_QTY,2026-06-01,1,49,DSC_TYPE.01,0.00,,
DSC_ACR_QTY,2026-06-01,50,99,DSC_TYPE.01,10.00,,
DSC_ACR_QTY,2026-06-01,100,299,DSC_TYPE.01,20.00,,
DSC_ACR_QTY,2026-06-01,300,499,DSC_TYPE.01,30.00,,
DSC_ACR_QTY,2026-06-01,500,999,DSC_TYPE.01,40.00,,
DSC_ACR_QTY,2026-06-01,1000,,DSC_TYPE.01,50.00,,
DSC_ACRCARA_QTY,2026-06-01,1,49,DSC_TYPE.01,0.00,,
DSC_ACRCARA_QTY,2026-06-01,50,99,DSC_TYPE.01,10.00,,
DSC_ACRCARA_QTY,2026-06-01,100,,DSC_TYPE.01,20.00,,
DSC_FABRIC_QTY,2026-06-01,1,49,DSC_TYPE.01,0.00,,
DSC_FABRIC_QTY,2026-06-01,50,99,DSC_TYPE.01,5.00,,
DSC_FABRIC_QTY,2026-06-01,100,499,DSC_TYPE.01,10.00,,
DSC_FABRIC_QTY,2026-06-01,500,999,DSC_TYPE.01,15.00,,
DSC_FABRIC_QTY,2026-06-01,1000,,DSC_TYPE.01,20.00,,
DSC_STAT_QTY,2026-06-01,1,49,DSC_TYPE.01,0.00,,
DSC_STAT_QTY,2026-06-01,50,99,DSC_TYPE.01,5.00,,
DSC_STAT_QTY,2026-06-01,100,499,DSC_TYPE.01,10.00,,
DSC_STAT_QTY,2026-06-01,500,999,DSC_TYPE.01,15.00,,
DSC_STAT_QTY,2026-06-01,1000,,DSC_TYPE.01,20.00,,
DSC_GOODSA_QTY,2026-06-01,1,49,DSC_TYPE.01,0.00,,
DSC_GOODSA_QTY,2026-06-01,50,99,DSC_TYPE.01,5.00,,
DSC_GOODSA_QTY,2026-06-01,100,499,DSC_TYPE.01,10.00,,
DSC_GOODSA_QTY,2026-06-01,500,999,DSC_TYPE.01,15.00,,
DSC_GOODSA_QTY,2026-06-01,1000,,DSC_TYPE.01,20.00,,
DSC_GOODSB_QTY,2026-06-01,1,99,DSC_TYPE.01,0.00,,
DSC_GOODSB_QTY,2026-06-01,100,499,DSC_TYPE.01,5.00,,
DSC_GOODSB_QTY,2026-06-01,500,,DSC_TYPE.01,10.00,,
DSC_SQUISHY_QTY,2026-06-01,1,1,DSC_TYPE.01,0.00,,단일수량 구간(qty=1)
DSC_SQUISHY_QTY,2026-06-01,2,9,DSC_TYPE.01,10.00,,
DSC_SQUISHY_QTY,2026-06-01,10,29,DSC_TYPE.01,15.00,,
DSC_SQUISHY_QTY,2026-06-01,30,49,DSC_TYPE.01,20.00,,
DSC_SQUISHY_QTY,2026-06-01,50,99,DSC_TYPE.01,25.00,,
DSC_SQUISHY_QTY,2026-06-01,100,499,DSC_TYPE.01,30.00,,
DSC_SQUISHY_QTY,2026-06-01,500,999,DSC_TYPE.01,40.00,,
DSC_SQUISHY_QTY,2026-06-01,1000,,DSC_TYPE.01,50.00,,
