set_prd_cd,set_prd_nm,모호점,참조후보,출처,확신도,권위충돌여부
14592,중철책자,"페이지 incr=4(권위)인데 4의 배수 강제인가 단순 증가단위인가","중철=접지 묶음 4면 단위 → 4배수 강제(도메인)",domain-set-bom.md§1.1+booklet-l1,High,없음(권위 incr=4와 정합)
14593,무선책자,"표지작업사이즈=책등에따라가변(권위 빨강) — 책등두께 산식이 셋트에 필요","책등=내지페이지×내지평량 함수(무선제본 도메인). 레드도 표지작업사이즈 가변",domain-set-bom.md§1.1+rpmeta/PR/reverse§2,Medium,없음(권위가 가변 명시)
14593,무선책자,"박/형압=표지 구성원의 후가공인가 별 구성원인가","표지(cover) 구성원의 후가공 옵션(박색·크기 제약 ★최소30x30)",booklet-l1 박/형압 컬럼,High,없음
14594,PUR책자,"무선책자와 구성원 동일·접착제만 PUR — 별 셋트인가 무선의 변형인가","제본방식만 다른 동형 셋트(구성원 BOM 무선과 동일)",domain-set-bom.md§1.1,High,없음(권위 별 prd_nm)
14595,트윈링책자,"링(링컬러)+투명커버가 표지 구성원인가 별 구성원인가","링=별 구성원(자재 링+공정 천공·삽입 BUNDLE)·투명커버=표지 보호 구성원",domain-set-bom.md§1.1+rpmeta/PR/reverse§1.3,Medium,없음(권위 링컬러·투명커버 컬럼 존재)
14596,하드커버책자,"하드보드(합지)가 권위 컬럼에 없음 — 셋트 구성원으로 등록 필요한가","하드커버=하드보드(합지)+표지지 싸바리+면지+내지 4구성원(양장 도메인)",domain-set-bom.md§1.1,Medium,모호(권위 하드보드 컬럼 부재)
14567,레더 하드커버책자,"표지=레더(천소재) — 자재 마스터에 레더 등록·셋트 표지 구성원","표지 구성원 자재=레더(화이트). 하드보드+면지 동반(하드커버 동형)",booklet-l1 표지종이=레더,High,없음(권위 표지종이=레더 명시)
14598,하드커버 링책자,"하드커버+링 복합 — 구성원(하드보드+링+면지+내지) 조합 정의","하드보드+링+면지+내지(하드커버와 트윈링 구성원 합집합)",domain-set-bom.md§1.1,Medium,모호(권위 일부 컬럼 가변)
14598,링바인더(보류중),"권위 prd_nm에 '보류중' 명시·내지/제본/수량 공란","권위 보류 상태 — 셋트 구성 미확정. 설계 보류 권장",booklet-l1 prd_nm,High,충돌없음(권위가 보류 명시)
14616,레더 링바인더,"내지 구성원 미정의(바인더만)·D링(31mm)","바인더(표지=레더+D링)만·내지는 사용자 삽입형 추정",booklet-l1,Low,모호(권위 내지 공란)
14535,엽서북,"페이지 20/30/10 = 떼어낼 엽서 장수인가 면수인가","내지=떼어내는 엽서 장수(떡제본 패드). 20·30장 택1",domain-set-bom.md§2+booklet-l1,High,없음(권위 페이지 명시)
14535,떡메모지,"내지 장수(매수) 개수규칙 권위 공란","떡메 통상 100/200매 프리셋(도메인)·권위 미정의",domain-set-bom.md§3,Low,모호(권위 페이지 공란→CONFIRM)
14535,떡메모지,"바닥받침지(보드) 구성원 유무 권위 미정의","일부 떡메는 받침보드 1구성원 추가(도메인)·후니 권위는 내지+떡제본만",domain-set-bom.md§3,Low,모호(권위 받침지 컬럼 부재)
ALL,책자류공통,"간지(divider) 구성원 — 권위 책자 시트에 컬럼 전무","챕터 구분 삽입지 0~N장(도메인). 후니 권위 미정의",domain-set-bom.md§0+booklet-l1,Low,모호(권위 간지 컬럼 부재→CONFIRM)
ALL,책자류공통,"셋트 가격축 = 구성원 합산형 vs 통합산정형","후니 권위 골든=구성원 합산형(제본비 단독). 레드=통합산정형(BIND=0) 이식 금지",competitor-set-reference.md§3+PRF_BIND_SUM benchmark,High,없음(후니 골든이 합산형 권위)
ALL,책자류공통,"날개커버/소프트커버 구성원 — 권위 미정의·레드 보유","책날개·커버형태 공정(레드 CVR_SWN/CVR_SFT). 후니 권위 컬럼 부재",competitor-set-reference.md§4 C-6+rpmeta/PR/reverse§1.3,Low,모호(권위 날개 컬럼 부재→CONFIRM)
ALL,책자류공통,"표지 부수 개수규칙 = 셋트 수량과 1:1인가","표지 1 per 책(책자=표지1·내지N) — 도메인 관례",domain-set-bom.md§4,Medium,없음(도메인 기본·권위 침묵)
