gap_id,프로세스,종류,내용,제안_담당,선행,관련_row_id
G-01,P01,다 코드는 있는데 연결 안 됨,order/register 제공자는 운영 라이브인데 huni-mall 에서 부르는 코드가 0건 — 결제 후 흐름이 우리에게 닿지 않는다,김동학,BLK-S1-5 계약 확정,T4-1;STD-MFG-001
G-02,P01,나 행은 있는데 코드 0,샵바이 웹훅을 읽어 주문 상태를 전이시키는 소비자 없음 — 수신·저장까지만 구현,서희항,BLK-S2-1,STD-MFG-136
G-03,P02,나 행은 있는데 코드 0,보류(HOLD) 주문 목록 화면 없음 — 상태를 만드는 코드는 있는데 볼 화면이 없다,서희항,없음,STD-MFG-007
G-04,P02,가 원장에 행 없음,order 버킷 보존기간 확정 — 설계 §12-9 미결인데 원장 행이 없다,서희항,AWS 담당 협의,—
G-05,P02,가 원장에 행 없음,미입금 만료분 unpaid-expired 태그 규칙 — 앱이 안 지우는 원칙이라 S3 수명주기에 의존하는데 규칙 미확정,서희항,AWS 담당 협의,—
G-06,P02,라 결정 미정,Lightsail 이전 후 크론·워커 실행 형태 — 지금은 요청에 얹은 lazy 승격,서희항+신우진,F1~F3 인프라 이전,BLK-S2-5
G-07,P03,라 결정 미정,검수 경로 결정 — PitStop 조달이냐 사람 검수냐. 이 갈림길이 P03 26행 전체의 뿌리,서희항+신우진,대표 구매 판단,T4-3;BLK-S2-4
G-08,P03,가 원장에 행 없음,PitStop 판정 코드 → 3분기 매핑표 — 설계 §11 4단계에 있으나 원장 행 없음,서희항,T4-3,—
G-09,P03,가 원장에 행 없음,검사 결과 보관 스키마(DDL) — TOrdArtworks.art_sts 는 승격 상태뿐이고 검판 판정 그릇이 없다,서희항,T4-3,STD-MFG-052;STD-ART-017
G-10,P03,가 원장에 행 없음,바이러스 검사 엔진 선정·조달 — 비교 문서는 있으나 선정 행이 없다,서희항,없음,—
G-11,P03,나 행은 있는데 코드 0,PitStop·프리플라이트·바이러스 검사 구현 0건(세 저장소 전수 검색) — 이 프로세스 26행 전부,서희항,T4-3,STD-MFG-036~053;STD-ART-008~018
G-12,P04,가 원장에 행 없음,서명 재업로드 링크의 만료·재발급 경로 — 발급만 행으로 있다,서희항,없음,STD-MFG-054
G-13,P04,가 원장에 행 없음,FILE_HOLD 상태를 상태머신에 추가하는 연결 — 이름만 문서에 있다,서희항,P09 상태머신,STD-MFG-022;STD-MFG-057
G-14,P04,가 원장에 행 없음,재업로드 화면의 비로그인(서명 링크) 접근 정책,서희항,없음,STD-MFG-055
G-15,P04,다 코드는 있는데 연결 안 됨,회차 그릇(build_order_key rev·rev_no·latest_artworks)과 위젯 업로드 컴포넌트는 있는데 재업로드 배선이 통째로 없다,서희항,T4-3,STD-MFG-056
G-16,P05,가 원장에 행 없음,우리 판걸이 값 → MES 조판 전달 경로 — 같은 수를 두 곳에서 계산하면 어긋난다,서희항+최숙진,없음,STD-ADO-014;STD-MFG-074
G-17,P05,가 원장에 행 없음,파일명 규약의 「품목」이 prd_nm 인지 MES_ITEM_CD 인지 미확정,최숙진,STD-MFG-010,STD-MFG-078;STD-MFG-079
G-18,P05,가 원장에 행 없음,조판 실패·재조판 경로,최숙진,없음,—
G-19,P05,라 결정 미정,접수파일 포맷 규약(PDF/AI/JPG)·디자인파일여부 Y/N 운영 기준 — 정의하는 일,최숙진,없음,STD-MFG-092;STD-MFG-059
G-20,P06,라 결정 미정,MES WCF 스펙(WSDL·상태코드·품목마스터) 회신 — P06 전체의 뿌리,외부(MES 담당),없음,BLK-S2-3
G-21,P06,가 원장에 행 없음,MES 작업번호를 받아 적는 칸(DDL) — 3시스템 매핑에 MES 칸이 없다,서희항,BLK-S2-3,STD-MFG-024
G-22,P06,가 원장에 행 없음,품목코드 미매핑 주문의 처리(보류·거부·기본값) — 289 중 15만 채워져 있다,서희항,없음,STD-MFG-010
G-23,P06,가 원장에 행 없음,MES-1 payload 스키마 정의서 — 우리 제공 API 4종 정의서는 있는데 송신 쪽이 없다,서희항,BLK-S2-3,STD-MFG-013
G-24,P06,다 코드는 있는데 연결 안 됨,MES_ITEM_CD 입력·중복검증 UI 는 상품 편집 화면에 실재하는데 목록 화면이 없어 현황이 안 보인다,서희항,없음,STD-MFG-011;STD-MFG-012
