row_id,found,system,evidence,note
STD-ART-001,Y,widget,raw/webadmin/webadmin/catalog/static/catalog/widget.js:773 · raw/webadmin/webadmin/catalog/static/catalog/widget.js:799 · raw/webadmin/webadmin/catalog/s3_artwork.py:83-88,widget.js _upload/_uploadSingle 이 presign PUT 으로 원고를 올리고 s3_artwork.py CONTENT_TYPES 가 pdf·ai·eps 를 명시 지원한다.
STD-ART-002,Y,widget,raw/webadmin/webadmin/catalog/static/catalog/widget.js:819 · raw/webadmin/webadmin/catalog/s3_artwork.py:56-57 · raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:628-666,100MB 이상 파일은 _uploadMultipart 로 10MB 단위 분할 전송(분할은 구현). 다만 조각 실패 시 ops.abort 로 전체 중단 후 처음부터 다시 시작하며 이미 올라간 조각부터 이어받기는 코드에 없다 — 재개(resume)는 미구현, 분할만 확인.
STD-ART-003,Y,widget,raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:3283-3289 · raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:5408 · raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:8036,paintFileProgress 가 파일별 %를 실시간 갱신하고 pvfileretry 버튼과 retryUploads로 실패 재시도를 제공한다.
STD-ART-004,Y,widget,raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:3245-3258 · raw/webadmin/webadmin/catalog/s3_artwork.py:135-145,multi 모드에서 cap(최대 개수)까지 파일을 누적하고 build_order_key 의 seq(1-based 순번)가 벌(건수)별 별도 경로를 만든다.
STD-ART-005,부분,widget,raw/webadmin/webadmin/catalog/static/catalog/widget_renderer.js:3255-3258 · raw/webadmin/webadmin/catalog/s3_artwork.py:122-131,파일은 item·mbr·inst 단위로 구분 업로드되어 구성요소(반제품)별 분리는 되나 앞면/뒷면 이라는 이름의 축은 코드에서 직접 확인 못함(item 단위 분리로 대체 구현된 것으로 추정).
STD-ART-006,부분,webadmin,raw/webadmin/webadmin/catalog/artwork_promote.py:1-24 · raw/webadmin/webadmin/catalog/edicus_lookup.py:433-462,결제가 끝나도 Edicus 쪽 프로젝트는 editing 에 머물고 인쇄 데이터 생성이 시작되지 않는다(edicus_lookup.py 자체 주석) — 원고 파일(S3)의 tmp→order 승격은 order/register 직후 구현돼 있으나 편집기 산출물(Edicus definitive_order) 쪽 후속 배선은 TODO(edicus-G7)로 미완.
STD-ART-007,Y,webadmin,raw/webadmin/webadmin/catalog/s3_artwork.py:135-166,build_order_key 의 r{rev}(회차) 세그먼트가 재업로드본을 덮어쓰지 않고 쌓는다고 docstring에 명시 — 버전 이력 보관 설계·구현 확인.
STD-ART-019,N,widget,찾지 못했다(webadmin/catalog/widget.js·widget_renderer.js 전수 grep thumbnail/썸네일/preview/미리보기 — 디자인 템플릿 썸네일(widget_api.py:6105,6135)만 있고 고객 업로드 파일의 썸네일·PDF 미리보기 코드 없음),디자인 갤러리 썸네일과 혼동 주의 — 고객이 올린 원고 자체의 미리보기 기능은 못 찾음.
STD-ART-020,N,widget,찾지 못했다(widget_renderer.js:1638-1707 은 재단선/작업사이즈 치수 도해(사이즈 안내 SVG)이고 고객이 올린 실제 파일 위에 재단선을 겹쳐 보여주는 오버레이가 아님),사이즈 설명용 겹상자 그림(MediaBox/BleedBox/TrimBox 식)은 있으나 업로드 파일 자체에 대한 재단선 오버레이 미리보기는 아님 — 혼동 방지를 위해 found=N으로 판정.
STD-ART-021,Y,widget,raw/webadmin/webadmin/catalog/static/catalog/widget.js:368-395,_onEditor 가 huni:editor(cancelable) 발화 후 /api/w/v1/editor/resolve 호출 → 오버레이로 편집기 진입시키는 전체 흐름.
STD-ART-022,Y,widget,raw/webadmin/webadmin/catalog/static/catalog/widget.js:634,resolve 로 얻은 ps_cd/tmpl_uri 로 sdk.createProject({templateUri: tmplUri}) 호출 — 템플릿 선택·불러오기.
STD-ART-023,Y,widget,raw/webadmin/webadmin/catalog/static/catalog/widget.js:613-615 · raw/webadmin/webadmin/catalog/static/catalog/widget.js:625-634,sdk.on(save) 가 setEditorResult 로 prjid 저장(613-615) 이후 재진입 시 prev.prjid 있으면 openProject 로 이어 편집(631-632) — 저장·재편집 확인.
STD-ART-024,부분,widget,raw/huni-skin-shopby/src/types/huni-widget.d.ts:9-21 · raw/webadmin/webadmin/catalog/static/catalog/widget.js:1004,handoff payload 의 editors[]에 prjid 가 실려 주문에 연결되나(구조는 확인) Edicus 쪽 실제 인쇄용 고해상 파일 렌더링(definitive_order)은 edicus_lookup.py 주석상 미배선 — 주문 연결은 부분, 인쇄용 파일 변환은 미완.
STD-ART-025,Y,widget,raw/webadmin/webadmin/catalog/static/catalog/widget.js:378-394,_onEditor 가 매번 selections/sel_opts/proc_sels 를 모아 서버 resolve 를 다시 불러 ps_cd/tmpl_uri 를 재산출 — 옵션 변경 시 편집기 규격이 재동기화됨.
