prd_cd,prd_nm,axis,verdict,evidence
PRD_000016,프리미엄엽서,사이즈코드,MATCH,권위 7 ↔ 라이브 7 일치
PRD_000016,프리미엄엽서,도수,MATCH,"권위 ['단면', '양면'] ↔ 라이브 print_side ['단면', '양면']·print_opt_cd 적재"
PRD_000016,프리미엄엽서,인쇄옵션,N/A,인쇄옵션 미사용(needed=N)
PRD_000016,프리미엄엽서,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000016,프리미엄엽서,자재,MATCH,권위=*별도설정·라이브 21종
PRD_000016,프리미엄엽서,공정,MATCH,"권위 공정 ↔ 라이브 후가공 적재 (['둥근', '직각', '오시', '미싱', '가변텍스트', '가변이미지'])"
PRD_000016,프리미엄엽서,묶음수,N/A,건수 미표기·라이브 0
PRD_000016,프리미엄엽서,페이지룰,MISSING,권위 판수(needed=Y) 라이브 page_rule 0
PRD_000017,코팅엽서,사이즈코드,MATCH,권위 7 ↔ 라이브 7 일치
PRD_000017,코팅엽서,도수,MATCH,"권위 ['단면', '양면'] ↔ 라이브 print_side ['단면', '양면']·print_opt_cd 적재"
PRD_000017,코팅엽서,인쇄옵션,MATCH,"권위 인쇄옵션 ↔ 라이브 processes 적재(코팅=True,접지=False,별색=False)"
PRD_000017,코팅엽서,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000017,코팅엽서,자재,MATCH,권위 2종 ↔ 라이브 2종 (표기차 g단위 정규화 일치)
PRD_000017,코팅엽서,공정,MATCH,"권위 공정 ↔ 라이브 후가공 적재 (['둥근', '직각'])"
PRD_000017,코팅엽서,묶음수,N/A,건수 미표기·라이브 0
PRD_000017,코팅엽서,페이지룰,MISSING,권위 판수(needed=Y) 라이브 page_rule 0
PRD_000018,스탠다드엽서,사이즈코드,MATCH,권위 5 ↔ 라이브 5 일치
PRD_000018,스탠다드엽서,도수,MATCH,"권위 ['단면', '양면'] ↔ 라이브 print_side ['단면', '양면']·print_opt_cd 적재"
PRD_000018,스탠다드엽서,인쇄옵션,N/A,인쇄옵션 미사용(needed=N)
PRD_000018,스탠다드엽서,판형,MATCH,권위 판형 ['316x467'] ↔ 라이브 출력판형 ['316x467']
PRD_000018,스탠다드엽서,자재,MATCH,권위=*별도설정·라이브 7종
PRD_000018,스탠다드엽서,공정,MATCH,"권위 공정 ↔ 라이브 후가공 적재 (['직각', '둥근', '오시', '미싱', '가변텍스트', '가변이미지'])"
PRD_000018,스탠다드엽서,묶음수,N/A,건수 미표기·라이브 0
PRD_000018,스탠다드엽서,페이지룰,MISSING,권위 판수(needed=Y) 라이브 page_rule 0
PRD_000019,투명엽서,사이즈코드,MATCH,권위 4 ↔ 라이브 4 일치
PRD_000019,투명엽서,도수,MATCH,권위 ['단면'] ↔ 라이브 print_side ['단면']·print_opt_cd 적재
PRD_000019,투명엽서,인쇄옵션,MISMATCH,"권위 인쇄옵션 ['화이트인쇄(없음)', '화이트인쇄(단면)', '화이트인쇄(양면)']... 라이브 미적재: ['별색인쇄']"
PRD_000019,투명엽서,판형,EXTRA,"권위 ['315x467'] ↔ 라이브 출력판형 ['100x100', '315x467'] OK · 단 완성품사이즈 ['102x152', '137x137', '150x212']가 plate에 혼입(output_paper_typ 빈값)"
PRD_000019,투명엽서,자재,MATCH,권위 2종 ↔ 라이브 1종 (표기차 g단위 정규화 일치)
