set_prd_cd,set_nm,set_typ_cd,member_sub_prd_cd,member_nm,member_typ,member_role_cd,member_role,base_qty,min_cnt,max_cnt,cnt_incr,authority_source,authority_role_qty_rule,member_has_formula,member_exists_live,set_has_formula,owner
PRD_000072,하드커버책자,PRD_TYPE.04,PRD_000073,하드커버책자-표지(전용지),PRD_TYPE.02,SEMI_ROLE.02,표지,1,,,,booklet-l1 row38(상품명=하드커버책자·표지종이=전용지),표지1권고정,N,Y,N,hsp-set-designer
PRD_000072,하드커버책자,PRD_TYPE.04,PRD_000074,하드커버책자-면지(화이트면지),PRD_TYPE.02,SEMI_ROLE.03,면지,1,,,,booklet-l1 row38(제본옵션_면지=화이트면지),면지=옵션택1(CONFIRM-2),N,Y,N,hsp-set-designer
PRD_000072,하드커버책자,PRD_TYPE.04,PRD_000075,하드커버책자-면지(블랙면지),PRD_TYPE.02,SEMI_ROLE.03,면지,1,,,,booklet-l1 row39(제본옵션_면지=블랙면지),면지=옵션택1(CONFIRM-2),N,Y,N,hsp-set-designer
PRD_000072,하드커버책자,PRD_TYPE.04,PRD_000076,하드커버책자-면지(그레이면지),PRD_TYPE.02,SEMI_ROLE.03,면지,1,,,,booklet-l1 row40(제본옵션_면지=그레이면지),면지=옵션택1(CONFIRM-2),N,Y,N,hsp-set-designer
PRD_000077,레더 하드커버책자,PRD_TYPE.04,PRD_000078,레더 하드커버책자-표지(레더(화이트)),PRD_TYPE.02,SEMI_ROLE.02,표지,1,,,,booklet-l1 row42(표지종이=레더(화이트)),표지1권고정,N,Y,N,hsp-set-designer
PRD_000077,레더 하드커버책자,PRD_TYPE.04,PRD_000079,레더 하드커버책자-면지(화이트면지),PRD_TYPE.02,SEMI_ROLE.03,면지,1,,,,booklet-l1 row42(제본옵션_면지=화이트면지),면지=옵션택1(CONFIRM-2),N,Y,N,hsp-set-designer
PRD_000077,레더 하드커버책자,PRD_TYPE.04,PRD_000080,레더 하드커버책자-면지(블랙면지),PRD_TYPE.02,SEMI_ROLE.03,면지,1,,,,booklet-l1 row43(제본옵션_면지=블랙면지),면지=옵션택1(CONFIRM-2),N,Y,N,hsp-set-designer
PRD_000077,레더 하드커버책자,PRD_TYPE.04,PRD_000081,레더 하드커버책자-면지(그레이면지),PRD_TYPE.02,SEMI_ROLE.03,면지,1,,,,booklet-l1 row44(제본옵션_면지=그레이면지),면지=옵션택1(CONFIRM-2),N,Y,N,hsp-set-designer
PRD_000082,하드커버 링책자,PRD_TYPE.04,PRD_000083,하드커버 링책자-표지(전용지),PRD_TYPE.02,SEMI_ROLE.02,표지,1,,,,booklet-l1 row46(표지종이=전용지),표지1권고정,N,Y,N,hsp-set-designer
PRD_000082,하드커버 링책자,PRD_TYPE.04,PRD_000084,하드커버 링책자-면지(화이트면지),PRD_TYPE.02,SEMI_ROLE.03,면지,1,,,,booklet-l1 row46(제본옵션_면지=화이트면지),면지=옵션택1(CONFIRM-2),N,Y,N,hsp-set-designer
PRD_000082,하드커버 링책자,PRD_TYPE.04,PRD_000085,하드커버 링책자-면지(블랙면지),PRD_TYPE.02,SEMI_ROLE.03,면지,1,,,,booklet-l1 row47(제본옵션_면지=블랙면지),면지=옵션택1(CONFIRM-2),N,Y,N,hsp-set-designer
PRD_000082,하드커버 링책자,PRD_TYPE.04,PRD_000086,하드커버 링책자-면지(그레이면지),PRD_TYPE.02,SEMI_ROLE.03,면지,1,,,,booklet-l1 row48(제본옵션_면지=그레이면지),면지=옵션택1(CONFIRM-2),N,Y,N,hsp-set-designer
PRD_000082,하드커버 링책자,PRD_TYPE.04,PRD_000087,하드커버 링책자-면지(인쇄면지),PRD_TYPE.02,SEMI_ROLE.03,면지,1,,,,booklet-l1 row49(제본옵션_면지=인쇄면지·인쇄면지는링책자/레더링바인더만),면지=옵션택1(CONFIRM-2),N,Y,N,hsp-set-designer
PRD_000088,레더 링바인더,PRD_TYPE.04,PRD_000089,레더 링바인더-표지(레더(화이트)),PRD_TYPE.02,SEMI_ROLE.02,표지,1,,,,booklet-l1 row55(표지종이=레더(화이트)),표지1권고정,N,Y,N,hsp-set-designer
PRD_000088,레더 링바인더,PRD_TYPE.04,PRD_000090,레더 링바인더-면지(화이트면지),PRD_TYPE.02,SEMI_ROLE.03,면지,1,,,,booklet-l1 row55(제본옵션_면지=화이트면지),면지=옵션택1(CONFIRM-2),N,Y,N,hsp-set-designer
PRD_000088,레더 링바인더,PRD_TYPE.04,PRD_000091,레더 링바인더-면지(블랙면지),PRD_TYPE.02,SEMI_ROLE.03,면지,1,,,,booklet-l1 row56(제본옵션_면지=블랙면지),면지=옵션택1(CONFIRM-2),N,Y,N,hsp-set-designer
PRD_000088,레더 링바인더,PRD_TYPE.04,PRD_000092,레더 링바인더-면지(그레이면지),PRD_TYPE.02,SEMI_ROLE.03,면지,1,,,,booklet-l1 row57(제본옵션_면지=그레이면지),면지=옵션택1(CONFIRM-2),N,Y,N,hsp-set-designer
PRD_000088,레더 링바인더,PRD_TYPE.04,PRD_000093,레더 링바인더-면지(인쇄면지),PRD_TYPE.02,SEMI_ROLE.03,면지,1,,,,booklet-l1 row58(제본옵션_면지=인쇄면지),면지=옵션택1(CONFIRM-2),N,Y,N,hsp-set-designer
PRD_000094,엽서북,PRD_TYPE.04,PRD_000095,엽서북-내지(몽블랑240),PRD_TYPE.02,SEMI_ROLE.01,내지,1,20,30,10,booklet-l1 row61(내지종이=몽블랑240·내지페이지20~30/+10),내지페이지가변(권위존재·라이브셋트행NULL),N,Y,Y(PRF_PCB_FIXED),hsp-set-designer
PRD_000094,엽서북,PRD_TYPE.04,PRD_000096,엽서북-표지(스노우300),PRD_TYPE.02,SEMI_ROLE.02,표지,1,,,,booklet-l1 row61(표지종이=스노우300·제본=떡제본),표지1권고정,N,Y,Y(PRF_PCB_FIXED),hsp-set-designer
PRD_000097,떡메모지,PRD_TYPE.04,PRD_000098,떡메모지-내지(백모조120),PRD_TYPE.02,SEMI_ROLE.01,내지,1,,,,booklet-l1 row65(내지종이=백모조120·제본=떡제본·50장1권/100장1권),제본=묶음수옵션(bundle-qtys PRD_000097=50/100),N,Y,N,hsp-set-designer
PRD_000100,포토북 [디자인명],PRD_TYPE.04,PRD_000101,포토북 [디자인명]-내지(몽블랑130),PRD_TYPE.02,SEMI_ROLE.01,내지,1,,,,booklet-l1(포토북=별도매핑·CONFIRM-3 권위행미특정),내지(CONFIRM-3),N,Y,N,hsp-set-designer
PRD_000100,포토북 [디자인명],PRD_TYPE.04,PRD_000102,포토북 [디자인명]-표지(하드커버),PRD_TYPE.02,SEMI_ROLE.02,표지,1,,,,booklet-l1(포토북·CONFIRM-3),표지=옵션택1(CONFIRM-3),N,Y,N,hsp-set-designer
PRD_000100,포토북 [디자인명],PRD_TYPE.04,PRD_000103,포토북 [디자인명]-표지(아트250+무광코팅),PRD_TYPE.02,SEMI_ROLE.02,표지,1,,,,booklet-l1(포토북·CONFIRM-3),표지=옵션택1(CONFIRM-3),N,Y,N,hsp-set-designer
PRD_000100,포토북 [디자인명],PRD_TYPE.04,PRD_000104,포토북 [디자인명]-면지(그레이),PRD_TYPE.02,SEMI_ROLE.03,면지,1,,,,booklet-l1(포토북·CONFIRM-3),면지=옵션택1(CONFIRM-3),N,Y,N,hsp-set-designer
PRD_000100,포토북 [디자인명],PRD_TYPE.04,PRD_000105,포토북 [디자인명]-표지(레더하드커버),PRD_TYPE.02,SEMI_ROLE.02,표지,1,,,,booklet-l1(포토북·CONFIRM-3),표지=옵션택1(CONFIRM-3),N,Y,N,hsp-set-designer
PRD_000100,포토북 [디자인명],PRD_TYPE.04,PRD_000106,포토북 [디자인명]-표지(레더),PRD_TYPE.02,SEMI_ROLE.02,표지,1,,,,booklet-l1(포토북·CONFIRM-3),표지=옵션택1(CONFIRM-3),N,Y,N,hsp-set-designer
PRD_000100,포토북 [디자인명],PRD_TYPE.04,PRD_000107,포토북 [디자인명]-표지(소프트커버),PRD_TYPE.02,SEMI_ROLE.02,표지,1,,,,booklet-l1(포토북·CONFIRM-3),표지=옵션택1(CONFIRM-3),N,Y,N,hsp-set-designer
PRD_000068,중철책자,PRD_TYPE.01,PRD_(mint:중철책자-표지·예약PRD_000285),중철책자-표지,PRD_TYPE.02,SEMI_ROLE.02,표지,1,1,1,,booklet-l1 r3-5(006-0001·표지종이=별도설정),표지1권고정·가격0(부모공식 PRF_BIND_JUNGCHEOL_SET),N,N(mint필요·BLOCKED→dbmap),N(제본비만 PRF_BIND_SUM→분해형 PRF_BIND_JUNGCHEOL_SET 신설·design §3·BLOCKED-FORMULA),hsp-set-designer
PRD_000068,중철책자,PRD_TYPE.01,PRD_(mint:중철책자-내지·예약PRD_000286),중철책자-내지,PRD_TYPE.02,SEMI_ROLE.01,내지,1,4,28,4,booklet-l1 r3-5(내지페이지 4~28/+4·양면),내지=page파생(부수×⌈page/판걸이수⌉)·PRF_DGP_INNER 재사용,N(mint후 PRF_DGP_INNER),N(mint필요·BLOCKED→dbmap),Y(PRF_DGP_INNER 재사용·design §4·BLOCKED-INNER-BIND),hsp-set-designer
