row_id,track,step,title,owner_name,status,evidence,check_method,prereq,note,api_path,api_evidence,wait_target
T4-4,T4,C5,접수 화면·주문 상태머신·MES 접수 전송(D-P5·D-P6·D-P7),서희항,없음,_workspace/huni-launch-runway/07_rebaseline/S/S2-pipeline/pipeline-status.csv:20,webadmin 관리자 메뉴에서 접수 화면을 열어 주문을 제작대기로 전환한 뒤 MES 화면에서 작업이 조회되는지 본다,T4-3 · 외부(MES 담당) WCF 스펙,구간=C5,none,샵바이 비경유,
T7-2,T7,E4,종단 주문 테스트 — 실주문 1건이 결제→접수→MES→송장→고객 조회까지,신우진,미착수,_workspace/huni-launch-runway/07_rebaseline/S/S5-plan/status-28.csv:29,테스트 주문번호로 셀러어드민 주문 목록과 마이페이지 주문조회 페이지를 열어 배송중 상태와 송장번호가 양쪽에 조회되는지 본다,T7-1 · T3-3 · T4-4,구간=E4,none,샵바이 비경유,
STD-ART-017,T4,C4,검판 게이트 통과/보류 상태 관리,최숙진,미착수,F-137/SCOPE-137/IA-137 파일확인처리,오픈 후 첫 주문의 파일확인을 MES/수기 절차로 처리하는 담당과 방법을 적어 두면 완료.,—,분류=이슈 · 오픈차단여부=오픈 무관 · 작업량=1일 · 소요 미합산(분류=이슈),none,샵바이 비경유,
STD-ART-028,T4,C5,생산용 원고 자동 다운로드/전달,서희항,부분,raw/webadmin/webadmin/catalog/artwork_promote.py:1 (order 버킷 승격),Plan B: 담당자가 S3 order 버킷에서 원고를 내려 MES 에 수기 등록하는 절차를 적어 두면 완료.,—,분류=이슈 · 오픈차단여부=오픈 무관 · 작업량=1일 · 소요 미합산(분류=이슈),none,샵바이 비경유,
STD-ADO-006,T4,C5,주문서(작업지시서) 출력,김동학,미착수,print-quote/04_design/ia.md §2.3 SM-A-63 · L4 사유: 주문서(작업지시서) 출력 경로 부재,샵바이 셀러어드민(service.shopby.co.kr) > 주문 메뉴에서 「주문서(작업지시서) 출력」에 해당하는 화면을 열어 동작(목록·버튼·저장 결과)이 보이면 완료.,—,분류=개발 · 오픈차단여부=작업 항목 · 작업량=2-3일,none,샵바이 비경유,
STD-ADO-008,T4,C4,파일 확인 처리(검판 판정),최숙진,미착수,print-kb/wiki/policy/order-mgmt.md#OMG-02 · L4 사유: 원고 파일 승격(WA-052)은 있으나 검판 '판정'(합격·반려·사유) 화면이 없다. 파일 검수 기준 자체도 미확정(X-DEC-FILECHECK),Plan B: 오픈 초기 파일확인을 MES 화면/수기로 처리하는 절차와 담당을 정해 적으면 완료.,—,분류=이슈 · 오픈차단여부=오픈 무관 · 작업량=1일 · 소요 미합산(분류=이슈),none,샵바이 비경유,
STD-ADO-010,T4,C4,검수 게이트 관리(G1 파일·G3 가공·G4 출고),최숙진,미착수,print-kb/wiki/policy/order-mgmt.md#OMG-05 · L4 사유: 검수 게이트(G1 파일·G3 가공·G4 출고) 단계 관리가 기존 3개 분모 어디에도 없다. 근거출처=print-kb order-mgmt.md#OMG-05 로 ia.md 오염 아님,"G1 파일·G3 가공·G4 출고 검수를 현행 MES 상태값으로 대신할지 정하고, 결정 문장 1줄과 결정일(YYYY-MM-DD)이 `R/R3/decisions-for-pm.md` §A-4(Plan B 확정) 의 STD-ADO-010 줄에 기재되어 있으면 완료 (기록처: 모범 STD-SYS-027 형식).",—,분류=이슈 · 오픈차단여부=오픈 무관 · 작업량=1일 · 소요 미합산(분류=이슈),none,샵바이 비경유,
STD-ADO-011,T4,C4,불량 판정·재작업 지시,최숙진,미착수,print-kb/wiki/policy/operations.md#OPS-04 4단계 상태 · L4 사유: 불량 판정·재작업 지시가 기존 분모에 없다. 근거출처=print-kb operations.md#OPS-04 로 ia.md 오염 아님,현행 MES 불량 처리 절차를 그대로 쓰기로 기록하면 완료.,—,분류=이슈 · 오픈차단여부=오픈 무관 · 작업량=반일 · 소요 미합산(분류=이슈),none,샵바이 비경유,
STD-ADO-012,T4,C5,인쇄 공정 상태 트래킹,서희항,미착수,print-kb/wiki/policy/custom-dev.md#CST-08 · L4 사유: 생산정보 전달(주문→생산BOM)은 legacy 에 있으나 MES↔Front 통신 규격 미확정(X-MES-SPEC),MES 상태(생산중 등)가 자사몰 주문상태에 반영되면 완료(Plan B 에서는 수동 상태변경).,EXT-MES;STD-MFG-013,분류=개발 · 오픈차단여부=오픈 무관 · 작업량=1주+,none,샵바이 비경유,
STD-ADO-013,T4,C5,작업 큐/일정 배정,최숙진,미착수,print-quote/04_design/ia.md §2.3 TR-PROC 워크큐 · L4 사유: 작업 큐/일정 배정이 기존 분모에 없다. ★단 근거출처가 print-quote/04_design/ia.md(TR-PROC 워크큐) — §4-1 오염 구역이라 '독립 발견'으로 세면 안 된다,작업 큐 배정을 현행 MES 로 유지하기로 기록하면 완료.,—,분류=이슈 · 오픈차단여부=오픈 무관 · 작업량=1일 · 소요 미합산(분류=이슈),none,샵바이 비경유,
STD-ADO-016,T4,C5,바코드/라벨 출력,최숙진,미착수,"print-quote/04_design/ia.md §2.3 TR-PROC-3 바코드 · L4 사유: 바코드/라벨 출력이 기존 분모에 없다. ★근거출처가 ia.md(TR-PROC-3) — 오염 구역, 독립 발견 아님",현행 MES 바코드 라벨 출력이 신규 주문번호로도 되는지 1건 확인하면 완료.,—,분류=검증 · 오픈차단여부=오픈 무관 · 작업량=반일 · 소요 미합산(분류=검증),none,샵바이 비경유,
STD-FIN-007,T5,E1,공정/팀별 작업량 통계,최숙진,미착수,print-kb/wiki/policy/custom-dev.md#CST-09 · L4 사유: 제작상품 팀별통계(Excel)가 legacy 에 있으나 구현 근거 없음,팀별 작업량 통계를 MES 엑셀로 유지하기로 기록하면 완료.,—,분류=이슈 · 오픈차단여부=오픈 무관 · 작업량=1일 · 소요 미합산(분류=이슈),none,샵바이 비경유,
STD-FIN-019,T5,E1,[구IA#84] 굿즈 발주/정산 (Excel 다운),최숙진,미착수,IA No.84 굿즈 발주/정산 Excel · MES 현행(auto-vs-human §2.7) · webadmin 없음 @ 2026-09-16 21:28,굿즈 발주/정산을 현행 MES 엑셀로 유지하기로 기록하면 완료.,—,분류=검증 · 오픈차단여부=오픈 무관 · 작업량=반일 · 소요 미합산(분류=검증),none,샵바이 비경유,
STD-FIN-021,T5,E1,적립금·증빙 데이터의 MS·이카운트 연동 방식,김용기,미착수,"후니정기미팅 정리260915.html §증빙서류 · 미결 3 / 후니-오픈잔여작업-실무진안내_260909.html §항목 4 · 결정 필요 — 증빙서류, 이카운트 연동 방안",이카운트 연동 방안 논의가 1회 이상 진행되고 결론 또는 다음 단계가 기록되면 완료,—,분류=이슈 · 오픈차단여부=오픈 무관 · 작업량=1일 · 소요 미합산(분류=이슈),none,샵바이 비경유,
